公司,毛利率(%),净利率(%),ROE(%),PE(倍),资产负债率(%)
兆易创新,38.00,14.97,6.96,196.3,13.26
韦尔股份,29.44,12.76,14.56,43.95,37.89
北京君正,36.73,8.65,3.07,160.5,6.53
中颖电子,33.60,6.55,7.86,77.9,21.05
