sector,range_min,range_max,average,current
Energy,4.5,26.0,10.8,9.1
Financials,6.0,12.6,10.0,10.2
Real Estate,8.1,20.5,14.4,11.7
Utilities,8.2,16.1,12.8,13.8
MSCI EMU,8.3,18.1,14.4,14.7
Health Care,9.8,19.2,14.5,14.6
Cons. Services,8.0,38.3,12.6,15.0
Comm. Services,7.8,20.4,14.0,15.9
Staples,12.5,23.5,18.6,16.5
Materials,8.8,23.0,14.4,16.5
Industrials,9.7,23.5,15.8,19.9
Info Tech,12.2,33.0,21.0,28.1
