公司,毛利率,净利率,ROE,PE,PB
海康威视,43.83,14.21,15.26,20.92,3.56
大华股份,38.84,9.07,8.21,16.13,1.65
中科曙光,29.16,15.16,9.79,63.65,6.40
浪潮信息,6.85,2.00,12.08,38.69,4.60
紫光股份,17.39,2.51,6.65,52.29,5.04
广电运通,31.11,10.65,7.48,39.37,2.72
