sector,range_min,range_max,average,current
Materials,8.0,25.5,12.8,14.8
Energy,6.5,26.8,14.0,15.3
Real Estate,9.5,19.5,14.5,18.9
Utilities,13.5,26.2,18.8,19.1
Financials,9.0,18.2,14.2,19.3
Staples,13.8,26.0,19.0,19.4
ASX 200,10.0,20.1,15.4,19.7
Industrials,13.0,46.5,21.8,20.8
Health Care,15.0,39.5,26.0,23.7
Cons Disc,10.0,29.5,19.0,28.8
Services,9.5,29.7,18.8,29.5
Info Tech,13.0,100.0,39.0,75.8
