指数,年化收益率,年化波动率
中证1000,0.5205860146599908,0.20063749508375364
中证500,0.5679913345732095,0.20138850452481133
创业板指,1.034950966577636,0.2679584143940815
沪深300,0.3253992558060439,0.14107378727606934
