日期,指数点位,成交额(万亿元)
2023-07-27,3902.3458,0.19684542551300002
2023-07-28,3992.7376,0.31009246739999996
2023-07-31,4014.6301,0.36654412
2023-08-01,3998.001,0.2556207736
2023-08-02,3969.895,0.204875690924
2023-08-03,4004.9839,0.22480982482
2023-08-04,4020.5792,0.316529733838
2023-08-07,3990.1531,0.22709057275099997
2023-08-08,3979.7322,0.20261133531400002
2023-08-09,3967.5652,0.17439424276499998
2023-08-10,3975.7166,0.175646730198
2023-08-11,3884.2538,0.20354631464700002
2023-08-14,3855.9061,0.197623765246
2023-08-15,3846.5357,0.177437071693
2023-08-16,3818.3338,0.169323869028
2023-08-17,3831.1008,0.174093848243
2023-08-18,3784.0038,0.168445686988
2023-08-21,3729.555,0.173379942907
2023-08-22,3758.2271,0.203463879672
2023-08-23,3696.6339,0.160476231587
2023-08-24,3723.4293,0.196257391084
2023-08-25,3709.1517,0.175601437173
2023-08-28,3752.6194,0.335047670967
2023-08-29,3790.1067,0.26213493675099997
2023-08-30,3788.5097,0.226727480839
2023-08-31,3765.2678,0.193577001342
2023-09-01,3791.4912,0.172219141586
2023-09-04,3848.9517,0.237934727924
2023-09-05,3820.3174,0.18137787795500002
2023-09-06,3812.0283,0.166081524007
2023-09-07,3758.4748,0.16440574882800002
2023-09-08,3739.9927,0.129197657303
2023-09-11,3767.537,0.186871759441
2023-09-12,3760.6048,0.140117510233
2023-09-13,3736.6513,0.138238089913
2023-09-14,3733.5077,0.151578100464
2023-09-15,3708.7766,0.180398970938
2023-09-18,3727.711,0.156966973911
2023-09-19,3720.5021,0.135216895229
2023-09-20,3705.6898,0.117691805957
2023-09-21,3672.4448,0.135011796555
2023-09-22,3738.9327,0.192236467363
2023-09-25,3714.6037,0.15579382736199998
2023-09-26,3692.8928,0.13780843777500001
2023-09-27,3700.495,0.164790435266
2023-09-28,3689.5172,0.15350042134400002
2023-10-09,3684.7272,0.178072374748
2023-10-10,3657.1259,0.16193895892500001
2023-10-11,3667.5483,0.187667554127
2023-10-12,3702.3824,0.194598219817
2023-10-13,3663.4104,0.170152309003
2023-10-16,3626.5972,0.15953797359799998
2023-10-17,3639.4018,0.147056233347
2023-10-18,3610.5767,0.158982356667
2023-10-19,3533.5445,0.18919478184400002
2023-10-20,3510.5889,0.16959128914500002
2023-10-23,3474.2438,0.15205489417899998
2023-10-24,3487.1302,0.186529203442
2023-10-25,3504.4576,0.20369174111899999
2023-10-26,3514.1448,0.17608846722600002
2023-10-27,3562.3851,0.22430196043700001
