日期,指数点位,累计收益率
2023-01-03,3887.8992,0.0
2023-01-04,3892.9477,0.0012985161755223462
2023-01-05,3968.5782,0.020751309601853896
2023-01-06,3980.8888,0.023917698277774457
2023-01-09,4013.1196,0.032207728019286064
2023-01-10,4017.4737,0.03332763874125133
2023-01-11,4010.0309,0.031413288698431296
2023-01-12,4017.8692,0.033429364629617986
2023-01-13,4074.3772,0.04796369206279838
2023-01-16,4137.9643,0.0643188228748317
2023-01-17,4137.2422,0.06413309275096424
2023-01-18,4130.3143,0.06235117926925682
2023-01-19,4156.0077,0.06895973537585554
2023-01-20,4181.5267,0.07552343435241338
2023-01-30,4201.345,0.0806208658907619
2023-01-31,4156.8578,0.06917838816397293
2023-02-01,4195.9332,0.07922890593459853
2023-02-02,4181.1493,0.07542636393453828
2023-02-03,4141.6319,0.06526216008892427
2023-02-06,4086.8779,0.05117897603929644
2023-02-07,4094.2335,0.05307089751709615
2023-02-08,4076.1411,0.04841738180866417
2023-02-09,4130.8565,0.06249063761735396
2023-02-10,4106.3097,0.05617699656410835
2023-02-13,4143.574,0.06576168435642571
2023-02-14,4145.2902,0.06620310526569217
2023-02-15,4123.6893,0.06064717418599752
2023-02-16,4093.4876,0.05287904583534475
2023-02-17,4034.507,0.03770874512384492
2023-02-20,4133.4896,0.06316789283014335
2023-02-21,4144.3536,0.06596220395837427
2023-02-22,4106.9506,0.05634184137284226
2023-02-23,4103.6463,0.05549194793939116
2023-02-24,4061.0457,0.044534719418651614
2023-02-27,4043.8444,0.040110402039229776
2023-02-28,4069.4587,0.04669861296815525
2023-03-01,4126.9415,0.06148366706626551
2023-03-02,4117.7377,0.059116373181691495
2023-03-03,4130.5513,0.062412137639782594
2023-03-06,4109.0102,0.05687158761729205
2023-03-07,4048.8519,0.041398372673859596
2023-03-08,4034.1077,0.037606041843883276
2023-03-09,4019.8505,0.03393897146304625
2023-03-10,3967.1352,0.020380158004096538
2023-03-13,4008.686,0.031067369236321918
2023-03-14,3984.6956,0.02489683888923877
2023-03-15,3986.902,0.025464343314250515
2023-03-16,3939.1505,0.01318226048658877
2023-03-17,3958.8194,0.01824126510275792
2023-03-20,3939.077,0.01316335567547644
2023-03-21,3982.3782,0.024300784341322546
2023-03-22,3999.4427,0.0286899156233269
2023-03-23,4039.0895,0.038887402224831336
2023-03-24,4027.0457,0.035789636727207474
2023-03-27,4012.4771,0.032042471677249384
2023-03-28,3999.5147,0.028708434621967704
2023-03-29,4006.144,0.030413545700979094
2023-03-30,4038.5257,0.03874238817714204
2023-03-31,4050.9257,0.04193177127637471
2023-04-03,4090.5676,0.05212799755713826
2023-04-04,4103.1052,0.05535277252043991
2023-04-06,4096.64,0.05368986932583031
2023-04-07,4123.2799,0.06054187310205994
2023-04-10,4104.8118,0.05579172422988754
2023-04-11,4100.1479,0.05459213037210442
2023-04-12,4097.2876,0.0538564374302708
2023-04-13,4068.9786,0.046575127256385684
2023-04-14,4091.9988,0.05249611409678523
2023-04-17,4149.3836,0.0672559617800792
2023-04-18,4162.032,0.07050923542462217
2023-04-19,4124.5589,0.06087084253624697
2023-04-20,4113.0192,0.057902735749939094
2023-04-21,4032.5672,0.037209812435466505
2023-04-24,3982.6429,0.024368867382158488
2023-04-25,3962.6658,0.019230591163474697
2023-04-26,3959.2323,0.0183474664157961
2023-04-27,3988.4185,0.025854399723120425
2023-04-28,4029.0858,0.03631436740952543
2023-05-04,4030.2471,0.03661306342510118
2023-05-05,4016.8774,0.03317426542334223
2023-05-08,4062.6624,0.04495054810062982
2023-05-09,4027.8754,0.03600304246571007
2023-05-10,3996.8695,0.02802806718857309
