月份,月度收益,3月均值
2023-02,-0.0210252802008285,-0.0210252802008285
2023-03,-0.004554168346763254,-0.004554168346763254
2023-04,-0.005391335614968185,-0.010323594720853313
2023-05,-0.05721953104101174,-0.022388345000914394
2023-06,0.011559220305341178,-0.017017215450212914
2023-07,0.04480954294909001,-0.00028358926219351765
2023-08,-0.06211339370967195,-0.0019148768184135874
2023-09,-0.02011825028753611,-0.012474033682706017
2023-10,-0.031714610247649655,-0.037982084748285905
2023-11,-0.021358343007215952,-0.02439706784746724
2023-12,-0.018618170547772595,-0.023897041267546066
2024-01,-0.06288288812899878,-0.034286467227995776
2024-02,0.09352967224301878,0.004009537855415801
2024-03,0.006086802397645474,0.012244528837221824
2024-04,0.018914571578452,0.039510348739705416
2024-05,-0.0067888244080288596,0.006070849856022871
2024-06,-0.03303636526209608,-0.006970206030557646
2024-07,-0.0056541130447066434,-0.015159767571610527
2024-08,-0.03505204578946419,-0.024580841365422306
2024-09,0.20967526569787376,0.05632303562123431
2024-10,-0.031562840316890495,0.047686793197173026
2024-11,0.006564723730902111,0.06155904970396179
2024-12,0.004679512489355497,-0.006772868032210962
2025-01,-0.0299449474192669,-0.006233570399669763
2025-02,0.019116313039479804,-0.0020497072968105323
2025-03,-0.0007051582670416501,-0.003844597548942915
2025-04,-0.030029823227687658,-0.0038728894850831677
2025-05,0.018475135261361686,-0.0040866154111225406
2025-06,0.024958594301704107,0.004467968778459379
2025-07,0.03544443504704975,0.026292721536705182
2025-08,0.10333909347924797,0.054580707609333944
2025-09,0.03200847472571966,0.05693066775067246
2025-10,-5.581062399562242e-06,0.04511399571418936
2025-11,-0.02456672397738624,0.0024787232286446192
2025-12,0.02281546736340978,-0.0005856125587920072
2026-01,0.016501425126613345,0.0049167228375456284
2026-02,0.0009151059864966893,0.013410666158839938
2026-03,-0.05532097937546543,-0.012634816087451798
2026-04,0.06907622349262521,0.004890116701218823
