日期,中证1000,中证500,创业板指,沪深300
2023-01-03,0.0,0.0,0.0,0.0
2023-01-04,-0.000377445943820498,-0.0005780993287508585,-0.009039884547088373,0.0
2023-01-05,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0
2023-01-11,-0.008148969982695209,-0.005644613868816761,-0.011331382811968216,-0.0018526070251561055
2023-01-12,-0.007741444268805853,-0.0054576852114798236,-0.006269752383705529,0.0
2023-01-13,-0.003468945479472074,0.0,0.0,0.0
2023-01-16,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.0,-0.00017450609711644471
2023-01-18,0.0,0.0,-0.0006514493422024037,-0.0018487351377100003
2023-01-19,0.0,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0
2023-01-30,0.0,0.0,0.0,0.0
2023-01-31,0.0,0.0,-0.01264244456327146,-0.010588799539195337
2023-02-01,0.0,0.0,-7.506067691642748e-05,-0.0012881113072122918
2023-02-02,0.0,0.0,-0.004425901932269216,-0.004806960628084611
2023-02-03,-0.0011754557478201866,-0.004152969233287451,-0.012921148452841313,-0.014212853264847336
2023-02-06,-0.006030771506544297,-0.010644379604087595,-0.026701209880938603,-0.027245346430726403
2023-02-07,-0.0012843083991914694,-0.008304902382774593,-0.029043432012873738,-0.025494573761497885
2023-02-08,-0.008005076194187666,-0.015991042961356117,-0.03366968703638218,-0.029800908994619735
2023-02-09,0.0,-0.0024456444143756695,-0.0168913685692329,-0.016777603362732707
2023-02-10,-0.0033986256765629053,-0.005633956836529008,-0.026294114741760133,-0.022620208528459473
2023-02-13,0.0,0.0,-0.0155724889688158,-0.013750596535157311
2023-02-14,0.0,0.0,-0.018642937392853498,-0.013342108301032107
2023-02-15,0.0,-0.0020112972292660736,-0.025512940449223143,-0.018483533249471384
2023-02-16,-0.019593593344859772,-0.01684107955359193,-0.038787585667971025,-0.025672112145039394
2023-02-17,-0.02761438465526833,-0.024981075357390692,-0.06294637335463804,-0.03971061648115071
2023-02-20,-0.01475788962598823,-0.007995167146651716,-0.05091696257674361,-0.016150875493443295
2023-02-21,-0.010353028244162288,-0.002155594405102601,-0.055120398741291265,-0.0135650369107988
2023-02-22,-0.009226875206834961,-0.0034618504122091442,-0.06197196181485087,-0.02246766214152851
2023-02-23,-0.013706627528199178,-0.0057672600196967405,-0.059835372271308085,-0.023254148373913597
2023-02-24,-0.016815889813088125,-0.008811819444043745,-0.07075666250542822,-0.03339390123876995
2023-02-27,-0.02396919204766379,-0.014070014158974686,-0.07807951634297028,-0.03748813772732307
2023-02-28,-0.015294046461942545,-0.006202605740317058,-0.07072150411496636,-0.031391447262721806
2023-03-01,-0.00861227400491038,0.0,-0.06501421466351254,-0.017709447807785494
2023-03-02,-0.012925213483064635,-0.003109725276126629,-0.07471157973152065,-0.019900127221163855
2023-03-03,-0.013543339797266185,-0.0018467884127078005,-0.07324296134952824,-0.01685024676621416
2023-03-06,-0.009423007357376556,-0.0010812007876551677,-0.06975428493361957,-0.021977438177536168
