日期,中证1000,中证500,创业板指,沪深300
2023-01-03,0.0,0.0,0.0,0.0
2023-01-04,-0.000377445943820498,-0.0005780993287508585,-0.009039884547088373,0.0012985161755223462
2023-01-05,0.009615562292723645,0.009161877869309665,0.01826258849267326,0.020751309601853896
2023-01-06,0.011927547129254146,0.009556629497733615,0.0278886154566671,0.023917698277774457
2023-01-09,0.017442903205975746,0.014124220316842573,0.03562266534472003,0.032207728019286064
2023-01-10,0.018135883746649206,0.01551401939143715,0.04989819531197259,0.03332763874125133
2023-01-11,0.009839124991692927,0.009781834873602291,0.038001396947298094,0.031413288698431296
2023-01-12,0.010254041544553116,0.009971663545754073,0.04331559359926729,0.033429364629617986
2023-01-13,0.014604025875238014,0.017091178996063494,0.058012567263470816,0.04796369206279838
2023-01-16,0.02616938306269012,0.028590202761904715,0.07770146958702973,0.0643188228748317
2023-01-17,0.02705500954722173,0.029675161099582015,0.080261832346888,0.06413309275096424
2023-01-18,0.02946956764630393,0.03283448375340425,0.07955809648679946,0.06235117926925682
2023-01-19,0.039288719729231536,0.041711467503744215,0.09124567952311136,0.06895973537585554
2023-01-20,0.04874918452388188,0.049620872382797554,0.09740985057909146,0.07552343435241338
2023-01-30,0.056470823137433346,0.05497581732820134,0.10925937391824969,0.0806208658907619
2023-01-31,0.0594010029700478,0.05595347024895614,0.09523562377719896,0.06917838816397293
2023-02-01,0.07675000392686382,0.06884071482164167,0.10917611215876755,0.07922890593459853
2023-02-02,0.07931944158113335,0.06955194271411913,0.10434990071183714,0.07542636393453828
2023-02-03,0.07805074933979261,0.06511012640262459,0.09492646887514611,0.06526216008892427
2023-02-06,0.0728103126463866,0.05816722582958089,0.07964080656285999,0.05117897603929644
2023-02-07,0.07793326255690003,0.06066941823657146,0.07704267470721216,0.05307089751709615
2023-02-08,0.07067940721340826,0.05244869164877586,0.07191095795624891,0.04841738180866417
2023-02-09,0.08958710455606034,0.06693619897953584,0.09052246499451999,0.06249063761735396
2023-02-10,0.08588400584566425,0.06352613323444212,0.08009238066207014,0.05617699656410835
2023-02-13,0.0978369433211348,0.07184996771854801,0.0919854445543522,0.06576168435642571
2023-02-14,0.09928041018968292,0.07409760568555179,0.08857952085785592,0.06620310526569217
2023-02-15,0.09961601109939533,0.07193727614727519,0.08095890556873075,0.06064717418599752
2023-02-16,0.07807058214241702,0.05600864245987891,0.06623388092439564,0.05287904583534475
2023-02-17,0.06925079159580472,0.047265492456728175,0.039435519220459625,0.03770874512384492
2023-02-20,0.08338799937662111,0.06551001579627758,0.05277925588855226,0.06316789283014335
2023-02-21,0.08823165547875034,0.07178228689620192,0.0481165549203606,0.06596220395837427
2023-02-22,0.08946999138954359,0.07037924044655641,0.040516394355022634,0.05634184137284226
2023-02-23,0.08454398401121188,0.06790300550702955,0.042886426334413086,0.05549194793939116
2023-02-24,0.08112498942004032,0.06463285151897114,0.030771882766933434,0.044534719418651614
2023-02-27,0.07325910375066802,0.05898503716543524,0.02264893850380667,0.040110402039229776
2023-02-28,0.08279843273534526,0.06743540171086582,0.030810882541125295,0.04669861296815525
2023-03-01,0.0901458167116207,0.07492476909732937,0.03714174686481497,0.06148366706626551
2023-03-02,0.0854032394065396,0.0715820483729328,0.02638485376081956,0.059116373181691495
2023-03-03,0.08472353781456188,0.07293961048922792,0.028013932467753522,0.062412137639782594
2023-03-06,0.08925432133651667,0.0737625595903113,0.031883779484667585,0.05687158761729205
2023-03-07,0.06719524769932872,0.05513891618909672,0.011588407331974526,0.041398372673859596
2023-03-08,0.0728169443370601,0.058029681474170536,0.0089798359285016,0.037606041843883276
2023-03-09,0.07303502732918177,0.05541654020236653,0.0068985890017496665,0.03393897146304625
2023-03-10,0.05831488459776302,0.041807641096003545,0.005913452159435284,0.020380158004096538
2023-03-13,0.06365795682311703,0.04854113576076191,0.00027346522839133414,0.031067369236321918
2023-03-14,0.053886036077051225,0.039204842514987126,-0.00565008698137881,0.02489683888923877
2023-03-15,0.05912051047579059,0.04512218806205337,-0.00804626026751809,0.025464343314250515
2023-03-16,0.0414218045910697,0.031050705394178424,-0.023075007854062246,0.01318226048658877
2023-03-17,0.048673791852681614,0.038161741852851705,-0.026630777255314597,0.01824126510275792
2023-03-20,0.046352279798564044,0.03432853244991518,-0.02737448894487937,0.01316335567547644
2023-03-21,0.06004170835278422,0.04680779480920827,-0.008133850620000938,0.024300784341322546
2023-03-22,0.06485745219815886,0.052694246604571005,-0.006153986131272715,0.0286899156233269
2023-03-23,0.06929543875273292,0.0587420510922545,0.002115366424521703,0.038887402224831336
2023-03-24,0.06915807246516903,0.059470639929982694,0.005922406405740599,0.035789636727207474
2023-03-27,0.07207492664704063,0.05972281017826209,0.017650304769018854,0.032042471677249384
2023-03-28,0.0625312076699458,0.054404031070450554,0.0054101046929628804,0.028708434621967704
2023-03-29,0.05955753266422903,0.05115167456978664,0.006266529549288746,0.030413545700979094
2023-03-30,0.05976979346782518,0.05545435146803834,0.011294063007933453,0.03874238817714204
2023-03-31,0.07038107453719866,0.06446071959371902,0.01828134572900919,0.04193177127637471
2023-04-03,0.0838307192147929,0.07688353369582357,0.03555527509290668,0.05212799755713826
2023-04-04,0.08245420751428778,0.07605949323938099,0.027682158545412783,0.05535277252043991
2023-04-06,0.08707210592123893,0.07739366677082682,0.029766885321439895,0.05368986932583031
2023-04-07,0.096391328158425,0.08538923835300105,0.03841477757885592,0.06054187310205994
2023-04-10,0.08482200129697826,0.07633189553700981,0.036961685883426965,0.05579172422988754
