月份,中证1000,中证500,创业板指,沪深300
2023-02,0.02208552729297253,0.010873520269034875,-0.05882272256072962,-0.0210252802008285
2023-03,-0.011467839094279175,-0.0027867561000685104,-0.012155029622144209,-0.004554168346763254
2023-04,-0.02217976321416637,-0.015548426679673155,-0.03116783583263616,-0.005391335614968185
2023-05,-0.02404409914797112,-0.030994141055947444,-0.05648304790195391,-0.05721953104101174
2023-06,0.006155236564249433,-0.008114154396685724,0.00984449679726751,0.011559220305341178
2023-07,-0.013054849191095008,0.014922126924447054,0.009784193344906544,0.04480954294909001
2023-08,-0.06316188807701895,-0.05729808982167606,-0.05995431071468127,-0.06211339370967195
2023-09,-0.004152879039124979,-0.008472786973631297,-0.04692674458699453,-0.02011825028753611
2023-10,-0.01803003675851711,-0.028560495076790704,-0.017805957159709895,-0.031714610247649655
2023-11,0.018629475918892302,0.003041095278360384,-0.023185949381333892,-0.021358343007215952
2023-12,-0.03179187661899496,-0.020887384540274057,-0.01624099724158745,-0.018618170547772595
2024-01,-0.1872191274851437,-0.1348716782759275,-0.16812955077717617,-0.06288288812899878
2024-02,0.11694241543212236,0.13834705605278774,0.1485106604484292,0.09352967224301878
2024-03,0.018084609879135627,-0.011339825786033542,0.006180734578157487,0.006086802397645474
2024-04,0.010322976094343517,0.02931804274148897,0.02210435005284328,0.018914571578452
2024-05,-0.025870341639438355,-0.024370035175158455,-0.028672346770064916,-0.0067888244080288596
2024-06,-0.08575256779384133,-0.06890003265116029,-0.06740806607291105,-0.03303636526209608
2024-07,-0.001410583839593138,-0.011404124928276693,0.00279898778089982,-0.0056541130447066434
2024-08,-0.05313088818517575,-0.05060955134866185,-0.06378752876165217,-0.03505204578946419
2024-09,0.23318898166350377,0.23799857145148207,0.3762367843022867,0.20967526569787376
2024-10,0.07143980466175726,0.027523494236766588,-0.004884679298961303,-0.031562840316890495
2024-11,0.011847047586337478,-0.00836289974816351,0.02750831511517937,0.006564723730902111
2024-12,-0.03738982534468993,-0.021566545854847963,-0.0370533739483937,0.004679512489355497
2025-01,-0.01874016443747961,-0.023820393701947995,-0.03631679703518287,-0.0299449474192669
2025-02,0.07258724264713567,0.04840060635389132,0.0516382267658142,0.019116313039479804
2025-03,-0.006980363320560401,-0.00035814782810561496,-0.030728643983605086,-0.0007051582670416501
2025-04,-0.04441103214300446,-0.03857220734142264,-0.07399785910406265,-0.030029823227687658
2025-05,0.012847377838912655,0.006968860129156429,0.023181476461213713,0.018475135261361686
2025-06,0.054694715325423804,0.043080970771612215,0.0801861259729828,0.024958594301704107
2025-07,0.04798555698843887,0.05256724005710134,0.08142042941946914,0.03544443504704975
2025-08,0.11671952662124951,0.13131277440665334,0.24129582234003744,0.10333909347924797
2025-09,0.018321323199864237,0.05230406793832598,0.12042215333785533,0.03200847472571966
2025-10,-0.009015027413136756,-0.010976963854090194,-0.015634679975540355,-5.581062399562242e-06
2025-11,-0.022974873587833455,-0.040847425095209666,-0.042335440197993846,-0.02456672397738624
2025-12,0.035596855104920166,0.06172517711420822,0.04933015670543828,0.02281546736340978
2026-01,0.08684017037149827,0.121215873790391,0.04470053853185574,0.016501425126613345
2026-02,0.037067011297574615,0.0343981006772065,-0.010773004611106418,0.0009151059864966893
2026-03,-0.10991826003870442,-0.1202436999609503,-0.03786735777722472,-0.05532097937546543
2026-04,0.09684751943223868,0.0883113289805022,0.15467213889915588,0.06907622349262521
